<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.11	1.07787	1.07821	1.06803	1.06803	96337	61686580000	0
2015.12.14	1.07151	1.07427	1.06607	1.07129	99187	65301089000	51
2015.12.15	1.07159	1.07208	1.06090	1.06250	107352	66406090000	51
2015.12.16	1.06208	1.06933	1.06152	1.06415	110101	69590174000	51
2015.12.17	1.06223	1.06815	1.05814	1.06272	106137	73257640000	34
2015.12.18	1.06287	1.06770	1.06138	1.06366	97211	72857450000	0
2015.12.21	1.06487	1.06558	1.05924	1.06217	65244	47480348000	51
2015.12.22	1.06201	1.06342	1.05804	1.06241	71418	47456410000	0
2015.12.23	1.06228	1.06759	1.06033	1.06432	78775	51062505000	51
2015.12.24	1.06216	1.06788	1.06174	1.06270	45423	30785700000	0
2015.12.28	1.06350	1.06462	1.05820	1.05837	45969	30029749000	0
2015.12.29	1.05769	1.06204	1.05647	1.06128	57127	39862560500	0
2015.12.30	1.06104	1.06642	1.06055	1.06485	62955	43236750000	0
2015.12.31	1.06387	1.06880	1.06153	1.06556	55981	38536400000	0
2016.01.04	1.06595	1.07069	1.06183	1.06470	97634	67236196000	51
2016.01.05	1.06396	1.07157	1.06281	1.06772	95983	62581700000	0
2016.01.06	1.06733	1.07263	1.06224	1.06428	119450	76011382359	34
2016.01.07	1.06434	1.06628	1.05359	1.05704	134254	92061372560	0
2016.01.08	1.05693	1.06608	1.05653	1.06170	121921	84093491000	51
2016.01.11	1.06338	1.06977	1.06236	1.06575	126673	77556741000	34
2016.01.12	1.06582	1.07172	1.06212	1.06771	118108	90643584000	0
2016.01.13	1.06702	1.07173	1.06512	1.06696	111402	82409705884	0
2016.01.14	1.06701	1.07970	1.06580	1.07875	135645	104357424000	34
2016.01.15	1.07690	1.08071	1.06054	1.06085	133021	97894009000	18
2016.01.18	1.06581	1.06932	1.06271	1.06342	126819	103811009000	0
2016.01.19	1.06322	1.07840	1.06245	1.07664	144164	103252853000	51
