<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.09.16	1.27157	1.27204	1.25693	1.26042	262732	0	32
2012.09.23	1.25957	1.26931	1.24909	1.24940	268440	0	42
2012.09.30	1.25056	1.25198	1.23690	1.24445	264262	0	60
2012.10.07	1.24367	1.25693	1.24018	1.25185	239990	0	24
2012.10.14	1.25407	1.26629	1.25055	1.26531	234047	0	26
2012.10.21	1.26457	1.26960	1.25768	1.26012	230408	0	20
2012.10.28	1.26030	1.26433	1.25157	1.25182	236121	0	8
2012.11.04	1.25404	1.27815	1.25236	1.27408	386816	0	10
2012.11.11	1.27507	1.28291	1.27108	1.27156	371127	0	10
2012.11.18	1.27321	1.27492	1.26745	1.26867	319803	0	15
2012.11.25	1.26917	1.27464	1.26545	1.26975	344394	0	15
2012.12.02	1.27139	1.27278	1.25714	1.25898	304864	0	10
2012.12.09	1.25861	1.25888	1.24683	1.24792	282653	0	12
2012.12.16	1.24675	1.26662	1.24503	1.26253	306121	0	10
2012.12.23	1.26227	1.26970	1.25853	1.26423	190742	0	10
2012.12.30	1.26329	1.26767	1.24694	1.25899	252997	0	37
2013.01.06	1.26202	1.26353	1.25009	1.25898	354845	0	29
2013.01.13	1.25874	1.26260	1.25014	1.25327	364223	0	20
2013.01.20	1.25556	1.25925	1.24209	1.24409	326326	0	20
2013.01.27	1.24626	1.25480	1.22862	1.23037	361792	0	20
2013.02.03	1.23007	1.23989	1.22155	1.23360	375134	0	20
2013.02.10	1.23251	1.23610	1.21383	1.21811	331827	0	20
2013.02.17	1.21865	1.23467	1.21635	1.23050	306000	0	20
2013.02.24	1.23132	1.24236	1.22556	1.23572	369296	0	24
2013.03.03	1.23879	1.24845	1.23048	1.24511	98236	0	4
2013.03.10	1.24445	1.26817	1.24058	1.25752	155843	0	3
2013.03.17	1.25788	1.26397	1.24913	1.24931	180375	0	3
2013.03.24	1.25058	1.25534	1.24229	1.24427	147077	0	1
2013.03.31	1.24512	1.24655	1.23068	1.23115	140333	0	2
2013.04.07	1.23203	1.23523	1.21819	1.22276	160546	0	4
2013.04.14	1.22418	1.23101	1.21750	1.22012	220938	0	9
2013.04.21	1.22220	1.22328	1.20508	1.21209	169111	0	5
2013.04.28	1.21146	1.21290	1.20137	1.20759	162078	0	4
2013.05.05	1.20645	1.21669	1.19550	1.20560	184667	0	1
2013.05.12	1.20693	1.20886	1.19613	1.20550	219928	0	1
2013.05.19	1.20401	1.20598	1.18953	1.18972	290957	0	4
2013.05.26	1.19038	1.20636	1.18176	1.20185	332192	0	7
2013.06.02	1.20627	1.21007	1.18958	1.20194	389768	0	7
2013.06.09	1.20124	1.20298	1.18528	1.18642	399350	0	7
2013.06.16	1.18777	1.19552	1.17470	1.18778	351251	0	7
2013.06.23	1.18987	1.19852	1.17835	1.17882	385013	0	7
2013.06.30	1.18000	1.18341	1.16510	1.17462	318237	0	7
2013.07.07	1.17373	1.17499	1.15846	1.16302	305380	0	7
2013.07.14	1.16350	1.17375	1.15417	1.15547	274913	0	1
2013.07.21	1.16000	1.16415	1.13953	1.14427	283550	0	1
2013.07.28	1.14620	1.14805	1.11990	1.13395	289906	0	1
2013.08.04	1.14650	1.14935	1.12659	1.14435	277744	0	1
2013.08.11	1.14291	1.14607	1.12755	1.13265	271578	0	1
2013.08.18	1.13275	1.15902	1.12646	1.15512	291596	0	1
2013.08.25	1.15550	1.15860	1.14352	1.15004	247631	0	1
2013.09.01	1.15010	1.16590	1.14660	1.14660	224990	0	1
2013.09.08	1.14922	1.15580	1.13361	1.13582	213468	0	1
2013.09.15	1.13673	1.14327	1.12121	1.12184	218605	0	1
2013.09.22	1.12189	1.13974	1.12189	1.12341	178275	0	1
2013.09.29	1.12534	1.14260	1.12054	1.13384	204321	0	1
2013.10.06	1.13359	1.14406	1.13249	1.13624	185579	0	1
2013.10.13	1.13417	1.13972	1.12987	1.13759	183800	0	1
2013.10.20	1.13869	1.15754	1.13623	1.15629	195064	0	1
2013.10.27	1.15719	1.15803	1.14042	1.14124	205983	0	1
2013.11.03	1.14421	1.14914	1.13100	1.13564	197443	0	1
2013.11.10	1.13628	1.13677	1.12183	1.12262	189251	0	1
2013.11.17	1.12236	1.13114	1.11695	1.11796	210796	0	1
2013.11.24	1.12014	1.12256	1.11144	1.11979	159311	0	1
2013.12.01	1.11695	1.11890	1.09646	1.09859	200409	0	1
2013.12.08	1.09923	1.10481	1.08161	1.08321	190027	0	1
2013.12.15	1.08282	1.08983	1.07290	1.08706	174917	0	1
2013.12.22	1.08635	1.09143	1.08544	1.08742	82435	0	1
2013.12.29	1.08592	1.09048	1.08009	1.08059	140010	0	1
