<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.20	0.72608	0.74109	0.71962	0.73759	623828	779738098000	7
2015.09.27	0.73638	0.74422	0.73355	0.73819	675507	808299434000	4
2015.10.04	0.73761	0.74296	0.73319	0.74117	635542	804390807000	7
2015.10.11	0.74162	0.74926	0.73383	0.73481	568038	734570833000	0
2015.10.18	0.73502	0.73730	0.71683	0.71929	554328	728735968000	7
2015.10.25	0.71893	0.72496	0.71231	0.71312	556532	667007761000	0
2015.11.01	0.71372	0.71967	0.70415	0.71334	561415	679066953000	0
2015.11.08	0.71239	0.71538	0.70402	0.70640	630443	754612999000	0
2015.11.15	0.70474	0.70788	0.69820	0.70046	594702	702547230000	0
2015.11.22	0.70029	0.70795	0.69916	0.70412	609581	744902594000	0
2015.11.29	0.70390	0.72506	0.70065	0.71952	715462	879111262000	0
2015.12.06	0.71877	0.72790	0.71635	0.72146	657869	776000768000	7
2015.12.13	0.72098	0.73056	0.72064	0.72885	669669	770589447000	0
2015.12.20	0.72765	0.74159	0.72747	0.73310	334565	352963968000	0
2015.12.27	0.73336	0.74082	0.73153	0.73717	296199	314118244000	0
2016.01.03	0.73738	0.75248	0.73119	0.75202	719451	768289733000	0
2016.01.10	0.75101	0.76943	0.74423	0.76534	758562	929290144000	0
2016.01.17	0.76564	0.77554	0.75254	0.75667	798109	1262376768000	0
2016.01.24	0.75586	0.76657	0.75496	0.76016	815660	1101685549000	0
2016.01.31	0.75976	0.77161	0.75258	0.76912	828672	997543354000	7
2016.02.07	0.76861	0.78973	0.76608	0.77519	947179	1270733781000	0
2016.02.14	0.77421	0.78448	0.76954	0.77234	763816	971315985000	0
2016.02.21	0.77825	0.79284	0.77667	0.78754	839145	1021800724000	0
2016.02.28	0.78730	0.78972	0.76908	0.77311	796890	1050166017000	0
2016.03.06	0.77255	0.78474	0.76524	0.77479	682322	778628400000	0
2016.03.13	0.77524	0.79109	0.77353	0.77783	653409	769985070000	0
2016.03.20	0.77918	0.79463	0.77904	0.78904	479568	586261062000	0
2016.03.27	0.78950	0.80195	0.78300	0.80051	615386	765927681000	0
2016.04.03	0.80064	0.81167	0.79596	0.80554	652759	832371043000	0
2016.04.10	0.80843	0.80892	0.79250	0.79412	607648	719643557000	0
2016.04.17	0.79532	0.79932	0.77753	0.77753	589345	706310335000	0
2016.04.24	0.77524	0.78423	0.77306	0.78359	606482	741041142000	0
2016.05.01	0.78523	0.79469	0.78210	0.78996	609487	744182382000	0
2016.05.08	0.79026	0.79274	0.78198	0.78714	574984	745459412000	0
2016.05.15	0.78779	0.78935	0.76487	0.77165	586816	748173272000	0
2016.05.22	0.77167	0.77536	0.75646	0.75995	575037	732948747000	0
2016.05.29	0.76020	0.78335	0.75723	0.78280	630389	818312837000	0
2016.06.05	0.78464	0.79312	0.77514	0.78866	650297	814144327000	0
2016.06.12	0.78793	0.79943	0.78392	0.78392	765403	958552536000	0
2016.06.19	0.78288	0.83144	0.75987	0.81012	867711	1037080986000	0
2016.06.26	0.81965	0.84055	0.81765	0.83896	914052	1084248426000	0
2016.07.03	0.83905	0.86265	0.83523	0.85095	739499	884118049000	0
2016.07.10	0.85223	0.85786	0.82478	0.83466	821303	1056416342000	0
2016.07.17	0.83718	0.84266	0.82996	0.83675	681429	968300021000	0
2016.07.24	0.83464	0.84777	0.83369	0.84480	650469	785539887000	0
2016.07.31	0.84200	0.85045	0.83434	0.84823	605428	634902878000	0
2016.08.07	0.84682	0.86523	0.84681	0.86399	513024	564354756000	0
2016.08.14	0.86300	0.87246	0.85908	0.86572	566004	631911292000	0
2016.08.21	0.86572	0.86617	0.84844	0.85168	545785	601843684000	0
2016.08.28	0.85214	0.85518	0.83752	0.83870	561701	555460827000	0
2016.09.04	0.83798	0.84947	0.83329	0.84528	571517	580099998000	0
2016.09.11	0.84641	0.85814	0.84196	0.85784	606650	609990766000	0
2016.09.18	0.85713	0.86789	0.85347	0.86443	537736	581804085000	0
2016.09.25	0.86578	0.87161	0.85890	0.86585	551036	532687401000	0
2016.10.02	0.86847	0.93050	0.86766	0.90017	694223	651842342000	0
2016.10.09	0.90093	0.91409	0.89662	0.89999	731213	691955746000	0
2016.10.16	0.90045	0.90574	0.88801	0.88825	590117	491314398000	0
2016.10.23	0.88978	0.90179	0.88821	0.89644	634333	494978621000	0
2016.10.30	0.90118	0.90485	0.88568	0.88799	682950	532849765000	0
2016.11.06	0.88727	0.90251	0.85667	0.85968	901765	759296636000	0
2016.11.13	0.86106	0.87069	0.85260	0.85713	900021	782802446000	0
2016.11.20	0.85704	0.86382	0.84597	0.84793	744101	641054565000	0
2016.11.27	0.84976	0.85779	0.83688	0.83739	749829	592932541000	0
2016.12.04	0.83626	0.85716	0.83040	0.83753	708498	548700506000	0
2016.12.11	0.83683	0.84282	0.83310	0.83491	790658	599206077000	0
2016.12.18	0.83543	0.85388	0.83542	0.84909	668185	568557381000	0
2016.12.25	0.85140	0.86654	0.84050	0.85137	568574	517840745000	0
2017.01.01	0.85185	0.85892	0.84497	0.85586	765138	656981093000	0
2017.01.08	0.85923	0.87676	0.85826	0.86916	898978	711660015000	0
2017.01.15	0.88201	0.88519	0.86091	0.86363	943264	765511594000	0
2017.01.22	0.86433	0.86629	0.84695	0.85189	918760	867429769000	0
2017.01.29	0.85145	0.86415	0.84799	0.86191	905909	874727917000	0
2017.02.05	0.86365	0.86435	0.84875	0.84875	821642	822296582000	0
2017.02.12	0.85008	0.85914	0.84554	0.85382	813179	838307397000	0
2017.02.19	0.85465	0.85547	0.84022	0.84623	773399	805076009000	0
2017.02.26	0.84638	0.86407	0.84638	0.86066	875254	870708574000	0
2017.03.05	0.86262	0.87827	0.86243	0.87660	836501	808688677000	0
2017.03.12	0.87774	0.87871	0.86596	0.86636	872804	830520543000	0
2017.03.19	0.86673	0.87266	0.86047	0.86523	803358	797962955000	0
2017.03.26	0.86677	0.87351	0.84726	0.84726	752607	785643586000	0
2017.04.02	0.84948	0.85903	0.84879	0.85478	681175	710676289000	0
2017.04.09	0.85443	0.85534	0.84662	0.84675	592746	622992684000	0
2017.04.16	0.84611	0.85119	0.83124	0.83675	629489	664579609000	0
2017.04.23	0.84958	0.85304	0.84047	0.84074	725572	738654034000	0
2017.04.30	0.84295	0.85084	0.84113	0.84653	612632	629406535000	0
