<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.19	10:00:00	0.69904	0.69994	0.69827	0.69989	6861	7024100000	7
2015.11.19	11:00:00	0.69988	0.70157	0.69925	0.70057	7107	8452790000	7
2015.11.19	12:00:00	0.70056	0.70112	0.69992	0.70088	5002	5226300000	7
2015.11.19	13:00:00	0.70088	0.70180	0.70073	0.70170	6908	9438276000	7
2015.11.19	14:00:00	0.70169	0.70189	0.70059	0.70085	6230	8251443000	7
2015.11.19	15:00:00	0.70085	0.70086	0.69898	0.69965	6332	7271600000	7
2015.11.19	16:00:00	0.69965	0.70198	0.69946	0.70023	8994	11508950000	7
2015.11.19	17:00:00	0.70022	0.70195	0.70009	0.70194	7962	9812999000	7
2015.11.19	18:00:00	0.70194	0.70262	0.70114	0.70114	8962	12238264000	7
2015.11.19	19:00:00	0.70114	0.70174	0.70101	0.70112	5288	6429193000	7
2015.11.19	20:00:00	0.70111	0.70163	0.70086	0.70157	4246	5495746000	7
2015.11.19	21:00:00	0.70157	0.70196	0.70135	0.70183	4051	5301960000	7
2015.11.19	22:00:00	0.70183	0.70220	0.70173	0.70199	3263	4539500000	7
2015.11.19	23:00:00	0.70199	0.70223	0.70174	0.70178	2903	2928750000	7
2015.11.20	00:00:00	0.70184	0.70213	0.70093	0.70174	3818	3350904000	0
2015.11.20	01:00:00	0.70174	0.70207	0.70155	0.70163	4400	4946350000	8
2015.11.20	02:00:00	0.70164	0.70181	0.70125	0.70146	3555	3538450000	7
2015.11.20	03:00:00	0.70146	0.70149	0.70114	0.70141	3872	4429000000	9
2015.11.20	04:00:00	0.70142	0.70148	0.70083	0.70095	4830	6198000000	7
2015.11.20	05:00:00	0.70095	0.70102	0.70047	0.70094	2915	2269900000	7
2015.11.20	06:00:00	0.70096	0.70123	0.70072	0.70117	2578	2398750000	8
2015.11.20	07:00:00	0.70118	0.70162	0.70085	0.70152	4260	5599400000	8
2015.11.20	08:00:00	0.70150	0.70180	0.70102	0.70110	2944	3729550000	7
2015.11.20	09:00:00	0.70108	0.70108	0.69967	0.69978	5540	5869400000	7
2015.11.20	10:00:00	0.69979	0.70032	0.69844	0.69968	8839	10600250000	7
2015.11.20	11:00:00	0.69969	0.69984	0.69852	0.69881	6523	8737545000	7
2015.11.20	12:00:00	0.69880	0.69939	0.69849	0.69923	5324	5834700000	7
2015.11.20	13:00:00	0.69923	0.69985	0.69904	0.69937	4601	6925791000	7
2015.11.20	14:00:00	0.69939	0.70103	0.69912	0.70080	5791	8256450000	7
2015.11.20	15:00:00	0.70079	0.70171	0.70056	0.70158	5957	7025000000	7
2015.11.20	16:00:00	0.70159	0.70192	0.70054	0.70089	6300	7948379000	7
2015.11.20	17:00:00	0.70086	0.70127	0.70021	0.70065	7553	9749600000	7
2015.11.20	18:00:00	0.70065	0.70143	0.70035	0.70127	7669	12904650000	7
2015.11.20	19:00:00	0.70126	0.70136	0.70062	0.70092	5028	8201500000	7
2015.11.20	20:00:00	0.70091	0.70094	0.70042	0.70093	4373	6392750000	7
2015.11.20	21:00:00	0.70095	0.70138	0.70083	0.70107	3503	4023950000	7
2015.11.20	22:00:00	0.70107	0.70137	0.70055	0.70057	3287	4192050000	7
2015.11.20	23:00:00	0.70057	0.70095	0.70045	0.70046	2203	2259300000	9
2015.11.23	00:00:00	0.70029	0.70095	0.69986	0.70082	1504	756416000	0
2015.11.23	01:00:00	0.70081	0.70085	0.69994	0.70030	5686	5617750000	10
2015.11.23	02:00:00	0.70030	0.70043	0.69997	0.70032	5015	5690900000	8
2015.11.23	03:00:00	0.70032	0.70039	0.69939	0.69957	5964	7752550000	7
2015.11.23	04:00:00	0.69958	0.69977	0.69916	0.69953	6395	8717200000	7
2015.11.23	05:00:00	0.69955	0.69982	0.69949	0.69966	4611	4719350000	8
2015.11.23	06:00:00	0.69965	0.69976	0.69948	0.69966	3285	2043350000	8
2015.11.23	07:00:00	0.69967	0.69989	0.69946	0.69971	3998	3849900000	7
2015.11.23	08:00:00	0.69971	0.70016	0.69959	0.69974	4196	6617800000	7
2015.11.23	09:00:00	0.69973	0.70172	0.69965	0.70144	7034	8547593000	7
2015.11.23	10:00:00	0.70143	0.70179	0.70096	0.70121	7229	8580400000	7
2015.11.23	11:00:00	0.70120	0.70164	0.70080	0.70123	6068	7855550000	7
2015.11.23	12:00:00	0.70124	0.70146	0.70092	0.70110	6266	9057300000	7
2015.11.23	13:00:00	0.70110	0.70260	0.70105	0.70237	6069	7545092000	7
2015.11.23	14:00:00	0.70238	0.70255	0.70177	0.70200	6697	8606775000	7
2015.11.23	15:00:00	0.70200	0.70294	0.70138	0.70211	6989	8418350000	7
2015.11.23	16:00:00	0.70211	0.70219	0.70124	0.70145	7166	10210393000	7
2015.11.23	17:00:00	0.70144	0.70170	0.70032	0.70146	7582	9763643000	7
2015.11.23	18:00:00	0.70145	0.70203	0.70039	0.70088	8910	12257350000	7
