<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.26	1.10662	1.12240	1.10313	1.11271	130382	0	1
2014.02.02	1.11222	1.11331	1.09674	1.10321	153150	0	1
2014.02.09	1.10396	1.10903	1.09401	1.09775	139813	0	1
2014.02.16	1.09732	1.11950	1.09101	1.11095	139329	0	1
2014.02.23	1.11042	1.11596	1.10403	1.10606	127305	0	1
2014.03.02	1.10795	1.11176	1.09550	1.10868	132195	0	0
2014.03.09	1.10920	1.11534	1.10432	1.11043	190870	0	0
2014.03.16	1.10971	1.12782	1.10250	1.12199	221896	0	0
2014.03.23	1.12261	1.12459	1.10007	1.10600	214586	0	0
2014.03.30	1.10561	1.10697	1.09565	1.09799	196251	0	0
2014.04.06	1.09808	1.10094	1.08579	1.09801	169536	0	1
2014.04.13	1.09743	1.10333	1.09421	1.10199	118921	0	1
2014.04.20	1.10230	1.10529	1.10003	1.10390	102059	0	1
2014.04.27	1.10341	1.10392	1.09354	1.09713	134122	0	0
2014.05.04	1.09762	1.09887	1.08140	1.08947	138055	0	0
2014.05.11	1.08990	1.09261	1.08515	1.08602	120079	0	0
2014.05.18	1.08621	1.09414	1.08494	1.08603	135135	0	0
2014.05.25	1.08707	1.08858	1.08219	1.08438	91013	0	0
2014.06.01	1.08424	1.09599	1.08417	1.09316	129510	0	0
2014.06.08	1.09281	1.09405	1.08412	1.08551	119591	0	0
2014.06.15	1.08544	1.08933	1.07514	1.07576	127141	0	1
2014.06.22	1.07543	1.07572	1.06595	1.06618	112507	0	0
2014.06.29	1.06624	1.06962	1.06199	1.06530	113547	0	1
2014.07.06	1.06526	1.07369	1.06303	1.07338	168704	0	2
2014.07.13	1.07317	1.07943	1.07080	1.07318	177646	0	1
2014.07.20	1.07343	1.08211	1.07097	1.08025	174274	0	1
2014.07.27	1.08144	1.09435	1.07942	1.09034	226354	0	1
2014.08.03	1.09181	1.09856	1.09031	1.09710	160424	0	8
2014.08.10	1.09711	1.09771	1.08598	1.08966	131556	0	8
2014.08.17	1.08883	1.09858	1.08750	1.09412	135037	0	3
2014.08.24	1.09667	1.09972	1.08103	1.08785	156396	0	2
2014.08.31	1.08725	1.09423	1.08209	1.08810	173146	0	1
2014.09.07	1.08834	1.10979	1.08824	1.10908	280654	0	1
2014.09.14	1.10870	1.10988	1.08870	1.09621	246566	0	1
2014.09.21	1.09612	1.11690	1.09257	1.11541	257268	0	1
2014.09.28	1.11553	1.12703	1.10716	1.12444	239975	0	1
2014.10.05	1.12542	1.12652	1.10818	1.11986	272702	0	1
2014.10.12	1.12027	1.13853	1.11820	1.12740	313877	0	1
2014.10.19	1.12828	1.12959	1.11837	1.12299	238079	0	4
2014.10.26	1.12399	1.13320	1.11215	1.12642	262779	0	1
2014.11.02	1.12780	1.14661	1.12629	1.13275	369817	0	1
2014.11.09	1.13254	1.14013	1.12639	1.12850	296995	0	1
2014.11.16	1.12924	1.13687	1.11904	1.12314	254455	0	1
2014.11.23	1.12333	1.14435	1.12244	1.14150	211104	11364990000	1
2014.11.30	1.14284	1.14756	1.13127	1.14335	226357	0	2
2014.12.07	1.14340	1.15911	1.13971	1.15767	218334	241737456000	1
2014.12.14	1.15838	1.16732	1.15481	1.16009	217013	240198740000	0
2014.12.21	1.15984	1.16665	1.15777	1.16197	519570	575915465000	0
2014.12.28	1.16140	1.17848	1.15644	1.17826	153525	114162198000	0
2015.01.04	1.17802	1.18891	1.17307	1.18638	359812	0	7
2015.01.11	1.18619	1.20457	1.18027	1.19824	418867	0	3
2015.01.18	1.19787	1.24556	1.19333	1.24168	229904	0	3
2015.01.25	1.24406	1.27974	1.23791	1.27263	210761	1607748000	1
2015.02.01	1.26991	1.27727	1.23518	1.25182	365754	0	5
2015.02.08	1.25378	1.26970	1.24218	1.24426	315144	0	3
2015.02.15	1.24429	1.25644	1.23626	1.25300	333660	0	2
2015.02.22	1.25309	1.26634	1.23877	1.25093	338369	0	5
2015.03.01	1.24987	1.26268	1.24070	1.26219	341060	0	5
2015.03.08	1.26175	1.28232	1.25729	1.27796	348803	0	3
2015.03.15	1.27893	1.28345	1.24485	1.25470	321148	0	1
2015.03.22	1.25415	1.26201	1.24101	1.26064	315318	0	5
2015.03.29	1.26064	1.27835	1.24289	1.24832	259553	0	5
2015.04.05	1.24832	1.26668	1.23868	1.25606	248544	0	2
2015.04.12	1.25606	1.26458	1.20873	1.22407	350684	0	2
