<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.07.27	08:00:00	115.815	116.681	115.630	116.034	35881	37665460000	9
2016.07.27	12:00:00	116.035	116.318	115.898	116.208	29938	31820471000	9
2016.07.27	16:00:00	116.208	116.486	115.993	116.162	33478	36576137000	9
2016.07.27	20:00:00	116.164	116.688	115.821	116.541	31644	31159513000	9
2016.07.28	00:00:00	116.531	116.702	115.852	115.952	21521	22672667000	0
2016.07.28	04:00:00	115.953	116.474	115.814	115.981	27390	29820364000	9
2016.07.28	08:00:00	115.981	116.436	115.890	116.360	34230	34865188000	9
2016.07.28	12:00:00	116.358	116.395	115.987	116.378	29835	33264283000	9
2016.07.28	16:00:00	116.378	116.434	116.096	116.128	34878	32729080000	9
2016.07.28	20:00:00	116.129	116.839	116.023	116.574	20257	19759043000	9
2016.07.29	00:00:00	116.509	116.679	114.484	115.669	24898	32738549000	0
2016.07.29	04:00:00	115.669	116.868	113.902	114.454	50174	59164109000	9
2016.07.29	08:00:00	114.454	115.307	114.333	115.141	39650	47069395000	9
2016.07.29	12:00:00	115.140	115.195	114.606	114.672	32835	35856800000	9
2016.07.29	16:00:00	114.678	114.932	114.053	114.183	47973	38320974000	9
2016.07.29	20:00:00	114.181	114.224	113.876	114.031	21628	17630356000	9
2016.08.01	00:00:00	114.208	114.574	113.900	114.383	20777	17848202000	9
2016.08.01	04:00:00	114.384	114.730	114.322	114.445	22475	21417297000	9
2016.08.01	08:00:00	114.450	114.550	114.094	114.094	26375	20897014000	9
2016.08.01	12:00:00	114.096	114.435	114.025	114.385	30675	25776239000	9
2016.08.01	16:00:00	114.379	114.489	114.105	114.204	31910	29502324000	9
2016.08.01	20:00:00	114.205	114.378	114.174	114.302	15960	15610796000	9
2016.08.02	00:00:00	114.284	114.391	114.196	114.334	16125	14956450000	0
2016.08.02	04:00:00	114.332	114.805	114.295	114.478	21620	18430813000	9
2016.08.02	08:00:00	114.476	114.642	113.627	113.957	40540	40213908000	9
2016.08.02	12:00:00	113.957	113.991	113.458	113.477	29494	26823382000	9
2016.08.02	16:00:00	113.477	113.606	113.002	113.071	39497	34052368000	9
2016.08.02	20:00:00	113.071	113.321	113.024	113.204	17644	16776625000	9
2016.08.03	00:00:00	113.138	113.577	113.124	113.518	15710	15118065000	0
2016.08.03	04:00:00	113.518	113.635	112.967	113.333	21841	18139600000	9
2016.08.03	08:00:00	113.332	113.450	113.087	113.269	31912	28707108000	9
2016.08.03	12:00:00	113.275	113.508	113.086	113.142	28644	27413539000	9
2016.08.03	16:00:00	113.143	113.418	113.065	113.226	33459	28952950000	9
2016.08.03	20:00:00	113.226	113.238	112.657	112.859	15774	14325189000	9
2016.08.04	00:00:00	112.841	113.039	112.810	112.857	13602	11460200000	0
2016.08.04	04:00:00	112.855	112.943	112.475	112.882	22147	18659500000	9
2016.08.04	08:00:00	112.879	113.267	112.797	112.985	30087	26758679000	9
2016.08.04	12:00:00	112.985	112.985	112.508	112.686	35853	31975981000	9
2016.08.04	16:00:00	112.686	112.796	112.494	112.625	31077	28818053000	9
2016.08.04	20:00:00	112.625	112.667	112.523	112.610	12893	12301750000	11
2016.08.05	00:00:00	112.614	112.840	112.439	112.705	10295	7208948000	9
2016.08.05	04:00:00	112.707	112.771	112.513	112.644	16101	12689550000	9
2016.08.05	08:00:00	112.644	112.709	112.439	112.560	21716	16880900000	9
2016.08.05	12:00:00	112.558	112.911	112.307	112.561	30340	25542810000	9
2016.08.05	16:00:00	112.561	112.887	112.367	112.841	35206	29105519000	9
2016.08.05	20:00:00	112.843	112.973	112.768	112.873	13972	12908247000	9
2016.08.08	00:00:00	112.940	113.387	112.892	113.160	17521	16155577000	0
2016.08.08	04:00:00	113.154	113.326	113.071	113.266	15426	11810200000	9
2016.08.08	08:00:00	113.266	113.454	113.160	113.386	24715	20844727000	9
2016.08.08	12:00:00	113.386	113.673	113.355	113.615	23648	22154734000	9
2016.08.08	16:00:00	113.616	113.750	113.475	113.615	23452	18013345000	9
2016.08.08	20:00:00	113.616	113.644	113.445	113.588	9774	7388150000	9
2016.08.09	00:00:00	113.561	113.619	113.348	113.480	13134	10184335000	0
2016.08.09	04:00:00	113.480	113.586	113.352	113.435	14830	10648700000	9
2016.08.09	08:00:00	113.434	113.552	113.341	113.521	21295	18685174000	9
2016.08.09	12:00:00	113.522	113.532	113.028	113.137	22037	19343288000	9
2016.08.09	16:00:00	113.137	113.349	113.049	113.188	29455	32287950000	9
2016.08.09	20:00:00	113.188	113.298	113.094	113.199	11875	11531500000	9
2016.08.10	00:00:00	113.142	113.356	112.861	113.049	15820	15062049000	0
2016.08.10	04:00:00	113.050	113.100	112.835	112.934	22611	15135250000	9
2016.08.10	08:00:00	112.933	113.240	112.782	113.052	24955	20127295000	9
2016.08.10	12:00:00	113.052	113.462	112.968	113.029	27201	22162992000	9
2016.08.10	16:00:00	113.031	113.240	112.958	113.166	29466	28076565000	9
2016.08.10	20:00:00	113.167	113.295	113.131	113.167	12656	12090300000	9
2016.08.11	00:00:00	113.159	113.249	112.982	113.110	13752	14836601000	0
2016.08.11	04:00:00	113.110	113.344	113.099	113.261	14341	12821198000	9
2016.08.11	08:00:00	113.263	113.312	112.699	112.883	23248	21396500000	9
2016.08.11	12:00:00	112.884	113.146	112.855	112.988	22119	21838393000	9
2016.08.11	16:00:00	112.989	113.443	112.910	113.372	26408	25724413000	9
2016.08.11	20:00:00	113.375	113.690	113.363	113.518	17414	18331071000	9
2016.08.12	00:00:00	113.515	113.770	113.349	113.749	14780	12185215000	0
2016.08.12	04:00:00	113.749	113.799	113.566	113.667	14441	11094992000	9
2016.08.12	08:00:00	113.667	113.921	113.586	113.832	21608	18196479000	9
2016.08.12	12:00:00	113.831	114.025	113.134	113.196	26561	23914638000	9
2016.08.12	16:00:00	113.195	113.281	112.728	112.969	35430	35732547000	9
2016.08.12	20:00:00	112.966	113.089	112.902	113.076	13558	13697049000	9
2016.08.15	00:00:00	112.929	113.208	112.898	113.112	12805	8985200000	0
2016.08.15	04:00:00	113.112	113.203	112.972	113.052	14373	11271548000	9
2016.08.15	08:00:00	113.051	113.070	112.750	112.771	22818	19346900000	9
2016.08.15	12:00:00	112.770	113.105	112.673	112.977	23619	20319145000	9
