<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.03.17	122.474	124.494	121.459	122.663	376161	0	1
2013.03.24	122.747	123.847	119.743	120.727	326800	0	1
2013.03.31	120.741	127.282	119.105	126.710	332231	0	1
2013.04.07	127.650	131.111	127.412	128.985	372334	0	1
2013.04.14	128.854	130.245	124.963	129.850	447441	0	6
2013.04.21	130.395	130.659	127.136	127.668	374367	0	2
2013.04.28	127.925	130.335	127.048	129.792	315386	0	1
2013.05.05	130.055	132.253	128.978	131.951	302724	0	1
2013.05.12	132.099	132.767	131.186	132.487	326795	0	1
2013.05.19	131.864	133.798	129.968	130.948	432672	0	1
2013.05.26	130.971	132.143	130.193	130.528	487976	0	5
2013.06.02	130.614	131.401	126.155	128.896	545990	0	5
2013.06.09	129.071	131.295	124.965	125.503	564683	0	5
2013.06.16	125.724	129.907	125.675	128.415	487794	0	5
2013.06.23	128.391	129.643	126.572	128.942	493988	0	5
2013.06.30	129.108	131.119	128.580	129.765	378201	0	1
2013.07.07	129.831	130.561	128.014	129.570	427581	0	1
2013.07.14	129.738	132.234	129.393	132.188	378686	0	1
2013.07.21	131.862	132.733	130.083	130.474	378999	0	1
2013.07.28	130.524	131.957	129.335	131.333	388209	0	1
2013.08.04	131.452	131.553	128.215	128.344	367086	0	1
2013.08.11	128.419	130.723	127.968	129.979	352638	0	1
2013.08.18	130.180	132.422	129.286	132.057	346952	0	1
2013.08.25	131.951	132.309	129.303	129.696	326821	0	1
2013.09.01	129.893	132.147	129.786	130.572	295573	0	1
2013.09.08	131.434	133.367	130.981	132.085	290583	0	1
2013.09.15	132.049	134.943	131.862	134.269	281016	0	1
2013.09.22	134.333	134.421	132.623	132.788	271287	0	1
2013.09.29	131.842	133.479	131.421	132.134	313288	0	1
2013.10.06	131.953	133.594	131.143	133.455	278621	0	1
2013.10.13	133.149	134.181	132.630	133.704	251343	0	1
2013.10.20	134.002	135.503	133.603	134.410	241249	0	1
2013.10.27	134.659	135.449	132.603	132.972	252033	0	1
2013.11.03	133.131	133.725	131.227	132.367	244031	0	1
2013.11.10	132.466	135.311	132.207	135.176	271030	0	1
2013.11.17	135.266	137.330	134.108	137.294	285687	0	1
2013.11.24	137.263	139.703	137.018	139.162	234322	0	1
2013.12.01	139.274	141.043	138.427	141.007	315469	0	1
2013.12.08	141.401	142.822	140.914	141.735	286189	0	1
2013.12.15	141.709	142.897	140.980	142.261	274474	0	1
2013.12.22	142.262	145.684	142.096	144.549	140468	0	1
2013.12.29	144.881	145.165	141.961	142.426	213576	0	1
2014.01.05	142.531	143.161	141.498	142.348	288795	0	1
2014.01.12	142.231	142.907	140.496	141.211	270619	0	1
2014.01.19	141.135	142.412	139.756	139.894	293359	0	1
2014.01.26	139.629	141.252	137.466	137.499	334301	0	1
2014.02.02	137.734	139.603	136.225	139.517	377180	0	1
2014.02.09	139.769	140.300	138.673	139.374	280058	0	1
2014.02.16	139.368	141.263	138.948	140.812	274149	0	1
2014.02.23	140.895	141.115	138.788	140.450	293672	0	1
2014.03.02	139.886	143.788	139.149	143.260	307474	0	0
2014.03.09	143.165	143.615	140.445	141.005	592108	0	0
2014.03.16	140.944	141.978	140.437	141.069	533686	0	0
2014.03.23	140.975	141.886	139.960	141.375	508471	0	0
2014.03.30	141.504	143.474	141.317	141.498	486234	0	0
2014.04.06	141.579	141.892	140.080	141.103	501464	0	1
2014.04.13	140.799	141.765	140.230	141.403	280382	0	1
2014.04.20	141.529	141.996	141.033	141.345	248656	0	1
2014.04.27	141.345	142.473	140.989	141.717	288112	0	0
2014.05.04	141.848	142.366	139.885	140.133	354259	0	1
2014.05.11	140.091	140.944	138.776	138.993	304655	0	1
2014.05.18	139.048	139.305	138.140	138.953	313009	0	0
2014.05.25	138.939	139.359	137.972	138.734	203184	0	0
2014.06.01	138.784	139.985	138.659	139.793	297526	0	0
2014.06.08	139.930	140.089	137.716	138.164	281090	0	1
2014.06.15	138.101	138.892	137.702	138.814	256425	0	0
2014.06.22	138.762	138.924	137.919	138.396	241515	0	0
2014.06.29	138.394	139.270	138.102	138.748	243736	0	1
2014.07.06	138.749	138.828	137.494	137.885	312491	0	1
2014.07.13	137.872	138.449	136.705	137.079	342747	0	1
