<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.01.13	1.05313	1.05788	1.04847	1.05082	408280	0	10
2013.01.20	1.05013	1.05780	1.04015	1.04225	384495	0	10
2013.01.27	1.04155	1.04751	1.03604	1.04053	397471	0	10
2013.02.03	1.04162	1.04560	1.02542	1.03166	399517	0	10
2013.02.10	1.03079	1.03734	1.02258	1.03033	376747	0	6
2013.02.17	1.02868	1.03670	1.02201	1.03177	368588	0	8
2013.02.24	1.02945	1.03280	1.01816	1.02021	450281	0	8
2013.03.03	1.01993	1.02989	1.01121	1.02319	102142	0	1
2013.03.10	1.02039	1.04132	1.02036	1.04073	164070	0	1
2013.03.17	1.03584	1.04594	1.03435	1.04424	163255	0	1
2013.03.24	1.04456	1.04964	1.03963	1.04163	139591	0	1
2013.03.31	1.04122	1.04968	1.03547	1.03812	141118	0	1
2013.04.07	1.03697	1.05817	1.03473	1.05034	169801	0	1
2013.04.14	1.04961	1.05233	1.02687	1.02754	251749	0	1
2013.04.21	1.02743	1.03388	1.02208	1.02756	197443	0	1
2013.04.28	1.02868	1.03839	1.02218	1.03159	164824	0	1
2013.05.05	1.03055	1.03063	0.99608	1.00205	187969	0	1
2013.05.12	1.00073	1.00105	0.97112	0.97257	230058	0	1
2013.05.19	0.97571	0.98418	0.95934	0.96445	282065	0	1
2013.05.26	0.96510	0.96969	0.95279	0.95679	303325	0	5
2013.06.02	0.96026	0.97916	0.94275	0.94946	367618	0	5
2013.06.09	0.94040	0.96565	0.93257	0.95691	395323	0	5
2013.06.16	0.95697	0.96410	0.91633	0.92156	338920	0	5
2013.06.23	0.92318	0.93441	0.91128	0.91340	366494	0	5
2013.06.30	0.91305	0.92528	0.90367	0.90590	310613	0	5
2013.07.07	0.90528	0.93051	0.89996	0.90461	311746	0	1
2013.07.14	0.90794	0.92918	0.90354	0.91704	279799	0	1
2013.07.21	0.91756	0.93178	0.91283	0.92597	305422	0	1
2013.07.28	0.92583	0.92868	0.88702	0.89010	302073	0	1
2013.08.04	0.89094	0.92142	0.88477	0.91973	281739	0	1
2013.08.11	0.91790	0.92209	0.90585	0.91821	280264	0	1
2013.08.18	0.91872	0.92328	0.89319	0.90211	293105	0	1
2013.08.25	0.90254	0.90693	0.88920	0.88971	254660	0	1
2013.09.01	0.89315	0.92166	0.89232	0.91795	228877	0	1
2013.09.08	0.91990	0.93541	0.91671	0.92421	212509	0	1
2013.09.15	0.93461	0.95285	0.92850	0.93922	205795	0	1
2013.09.22	0.93763	0.94567	0.92975	0.93130	182739	0	1
2013.09.29	0.93058	0.94583	0.92808	0.94352	203756	0	1
2013.10.06	0.94293	0.94844	0.93879	0.94652	193415	0	1
2013.10.13	0.94338	0.96776	0.94319	0.96747	200568	0	1
2013.10.20	0.96655	0.97573	0.95717	0.95815	201470	0	1
2013.10.27	0.95867	0.96223	0.94213	0.94364	209105	0	1
2013.11.03	0.94476	0.95423	0.93523	0.93846	203846	0	1
2013.11.10	0.93799	0.93901	0.92759	0.93656	199217	0	1
2013.11.17	0.93716	0.94475	0.91433	0.91664	218712	0	1
2013.11.24	0.91672	0.92042	0.90554	0.91072	185720	0	1
2013.12.01	0.91172	0.91679	0.89901	0.90990	240954	0	1
2013.12.08	0.91132	0.91666	0.89091	0.89627	221414	0	1
2013.12.15	0.89483	0.89694	0.88219	0.89167	218865	0	1
2013.12.22	0.89197	0.89578	0.88616	0.88672	111352	0	1
2013.12.29	0.88458	0.90042	0.88329	0.89427	179367	0	1
2014.01.05	0.89486	0.90047	0.88646	0.89939	225606	0	1
2014.01.12	0.89892	0.90857	0.87630	0.87768	217195	0	1
2014.01.19	0.87736	0.88873	0.86598	0.86788	212215	0	1
2014.01.26	0.86932	0.88254	0.86771	0.87526	225690	0	1
2014.02.02	0.87626	0.89980	0.87305	0.89577	250224	0	1
2014.02.09	0.89515	0.90668	0.89065	0.90311	174667	0	1
2014.02.16	0.90495	0.90802	0.89366	0.89760	181137	0	1
2014.02.23	0.89703	0.90488	0.89042	0.89236	188384	0	1
2014.03.02	0.89086	0.91329	0.88902	0.90670	189412	0	0
2014.03.09	0.90550	0.91029	0.89236	0.90291	351063	0	0
2014.03.16	0.90143	0.91382	0.89949	0.90788	329553	0	0
2014.03.23	0.90964	0.92948	0.90476	0.92467	336033	0	0
2014.03.30	0.92486	0.93071	0.92054	0.92904	328737	0	0
2014.04.06	0.92832	0.94610	0.92537	0.93927	301804	0	1
2014.04.13	0.93914	0.94251	0.93208	0.93296	201382	0	1
2014.04.20	0.93310	0.93779	0.92519	0.92693	181955	0	1
2014.04.27	0.92729	0.93164	0.92021	0.92761	220811	0	0
2014.05.04	0.92814	0.93940	0.92521	0.93611	254131	0	0
2014.05.11	0.93578	0.94090	0.93267	0.93580	197186	0	0
2014.05.18	0.93663	0.93685	0.92083	0.92295	255627	0	1
2014.05.25	0.92331	0.93286	0.92105	0.93080	136691	0	2
2014.06.01	0.93082	0.93582	0.92294	0.93325	188048	0	0
2014.06.08	0.93380	0.94370	0.93342	0.93998	186830	0	1
2014.06.15	0.94028	0.94311	0.93216	0.93867	177032	0	1
2014.06.22	0.93784	0.94447	0.93540	0.94239	167031	0	1
2014.06.29	0.94211	0.95036	0.93293	0.93628	251055	0	1
2014.07.06	0.93604	0.94569	0.93412	0.93912	279490	0	1
2014.07.13	0.93821	0.94104	0.93295	0.93899	229324	0	1
2014.07.20	0.93963	0.94701	0.93601	0.93915	275020	0	1
2014.07.27	0.93966	0.94158	0.92749	0.93022	272119	0	1
2014.08.03	0.93096	0.93739	0.92387	0.92747	245048	0	10
2014.08.10	0.92757	0.93337	0.92469	0.93151	199838	0	10
2014.08.17	0.93191	0.93460	0.92357	0.93154	228976	0	2
2014.08.24	0.92913	0.93736	0.92714	0.93345	250762	0	1
2014.08.31	0.93282	0.94020	0.92624	0.93764	255178	0	1
2014.09.07	0.93671	0.93743	0.90304	0.90374	315886	0	1
2014.09.14	0.90157	0.91125	0.89210	0.89251	315029	0	1
2014.09.21	0.89317	0.89497	0.87479	0.87646	388817	0	1
2014.09.28	0.87564	0.88266	0.86427	0.86742	363200	0	1
2014.10.05	0.86755	0.88985	0.86524	0.86837	396530	0	1
2014.10.12	0.86806	0.88606	0.86519	0.87435	468767	0	1
2014.10.19	0.87630	0.88321	0.87184	0.87863	365650	0	6
