<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.26	75.491	75.582	75.021	75.055	38938	0	7
2019.07.29	75.004	75.191	74.900	75.068	33704	0	7
2019.07.30	75.067	75.190	74.583	74.617	52133	0	7
2019.07.31	74.618	74.889	74.347	74.423	82637	0	7
2019.08.01	74.422	74.851	72.944	72.968	84143	0	7
2019.08.02	72.966	73.160	72.214	72.446	122239	0	7
2019.08.05	72.388	72.461	71.396	71.561	136628	0	7
2019.08.06	71.561	72.713	71.239	71.955	137567	0	7
2019.08.07	71.960	72.050	70.737	71.791	145724	0	7
2019.08.08	71.791	72.355	71.546	72.156	91989	0	7
2019.08.09	72.155	72.232	71.474	71.673	89403	0	7
2019.08.12	71.557	71.691	70.898	71.061	92875	0	7
2019.08.13	71.065	72.926	70.961	72.555	129704	0	7
2019.08.14	72.539	72.571	71.246	71.445	139735	0	7
2019.08.15	71.446	72.502	71.325	71.882	157141	0	7
2019.08.16	71.881	72.231	71.801	72.067	107488	0	7
2019.08.19	71.998	72.304	71.970	72.121	91728	0	7
2019.08.20	72.121	72.353	71.902	71.982	87816	0	7
2019.08.21	71.982	72.397	71.958	72.285	80430	0	7
2019.08.22	72.279	72.356	71.833	71.902	95620	0	7
2019.08.23	71.894	72.105	71.027	71.169	138357	0	7
2019.08.26	70.717	72.073	69.951	71.872	190386	0	7
2019.08.27	71.878	71.931	71.255	71.384	117289	0	6
2019.08.28	71.386	71.584	71.213	71.445	107218	0	6
2019.08.29	71.442	71.804	71.115	71.660	120555	0	6
2019.08.30	71.660	71.751	71.330	71.577	108600	0	6
2019.09.02	71.299	71.530	71.203	71.315	66293	0	6
2019.09.03	71.318	71.721	71.088	71.587	110194	0	6
2019.09.04	71.586	72.342	71.541	72.297	91516	0	6
2019.09.05	72.296	73.143	72.243	72.860	102834	0	6
2019.09.06	72.852	73.279	72.838	73.216	96221	0	6
2019.09.09	73.033	73.660	73.032	73.562	81532	0	6
2019.09.10	73.557	73.830	73.410	73.778	89623	0	6
2019.09.11	73.776	74.198	73.666	73.964	72725	0	6
2019.09.12	73.964	74.477	73.868	74.206	101274	0	6
2019.09.13	74.207	74.493	74.151	74.332	74558	0	6
2019.09.16	74.298	74.298	73.786	74.213	89555	0	6
2019.09.17	74.191	74.290	73.890	74.225	79681	0	6
2019.09.18	74.214	74.257	73.844	74.027	73359	0	6
2019.09.19	74.026	74.056	73.117	73.349	80970	0	6
2019.09.20	73.346	73.454	72.688	72.741	64438	0	6
2019.09.23	72.904	73.038	72.616	72.834	66342	0	6
2019.09.24	72.829	73.299	72.714	72.802	86484	0	6
2019.09.25	72.809	73.078	72.477	72.747	85910	0	6
2019.09.26	72.738	72.988	72.620	72.751	78861	0	6
2019.09.27	72.753	73.315	72.617	73.005	79901	0	6
2019.09.30	72.988	73.094	72.697	72.941	69385	0	6
2019.10.01	72.941	73.366	72.040	72.215	90387	0	6
2019.10.02	72.210	72.480	71.730	71.849	81609	0	6
2019.10.03	71.850	72.162	71.736	72.060	78436	0	5
2019.10.04	72.052	72.451	71.989	72.308	65866	0	6
2019.10.07	72.051	72.416	71.916	72.191	62948	0	6
2019.10.08	72.191	72.539	71.944	72.031	83273	0	6
2019.10.09	72.020	72.484	71.917	72.246	66508	0	6
2019.10.10	72.247	73.076	71.838	72.978	100495	0	4
2019.10.11	72.976	73.952	72.856	73.636	87725	0	6
2019.10.14	73.536	73.743	72.991	73.415	63727	0	6
2019.10.15	73.415	73.684	73.077	73.485	76996	0	6
2019.10.16	73.484	73.554	73.026	73.479	83729	0	6
2019.10.17	73.481	74.398	73.395	74.110	82913	0	6
2019.10.18	74.102	74.352	74.061	74.295	55381	0	6
2019.10.21	74.199	74.723	74.087	74.580	56387	0	6
2019.10.22	74.582	74.820	74.297	74.356	60111	0	5
2019.10.23	74.356	74.509	74.012	74.462	65202	0	6
2019.10.24	74.462	74.498	73.924	74.031	63661	0	6
2019.10.25	74.034	74.309	73.960	74.109	50520	0	6
2019.10.28	74.158	74.578	74.065	74.517	47219	0	6
2019.10.29	74.513	74.818	74.480	74.709	52883	0	6
2019.10.30	74.709	75.141	74.524	75.103	70649	0	6
2019.10.31	75.103	75.290	74.314	74.437	70396	0	6
2019.11.01	74.437	74.881	74.348	74.770	51282	0	6
2019.11.04	74.824	75.003	74.705	74.728	48157	0	6
2019.11.05	74.728	75.406	74.661	75.240	74083	0	6
2019.11.06	75.240	75.301	74.814	75.005	54975	0	5
2019.11.07	75.003	75.668	74.562	75.370	78125	0	6
2019.11.08	75.368	75.556	74.741	74.907	61579	0	6
2019.11.11	74.912	74.956	74.602	74.698	41787	0	6
2019.11.12	74.698	74.938	74.518	74.561	59418	0	5
2019.11.13	74.560	74.704	74.191	74.399	59679	0	6
2019.11.14	74.399	74.425	73.352	73.558	60523	0	6
2019.11.15	73.556	74.197	73.524	74.172	47036	0	5
2019.11.18	74.121	74.318	73.886	73.983	48321	0	6
2019.11.19	73.985	74.275	73.588	74.100	47680	0	6
2019.11.20	74.090	74.157	73.625	73.870	64503	0	6
2019.11.21	73.870	74.047	73.486	73.705	71744	0	6
2019.11.22	73.707	73.916	73.584	73.702	55292	0	6
2019.11.25	73.738	73.995	73.718	73.807	45508	0	5
2019.11.26	73.792	74.101	73.710	74.001	57968	0	6
2019.11.27	73.994	74.290	73.896	74.219	48250	0	6
2019.11.28	74.213	74.239	73.907	74.122	36971	0	6
2019.11.29	74.124	74.271	73.921	73.997	44446	0	6
2019.12.02	74.117	74.515	74.048	74.292	57585	0	6
2019.12.03	74.293	74.840	74.181	74.371	66201	0	6
2019.12.04	74.371	74.639	73.891	74.544	66389	0	6
2019.12.05	74.536	74.623	74.162	74.308	52931	0	5
2019.12.06	74.309	74.531	74.163	74.269	50303	0	6
2019.12.09	74.205	74.287	73.970	74.062	38208	0	6
2019.12.10	74.059	74.273	73.821	74.023	49746	0	6
2019.12.11	74.023	74.751	73.938	74.638	52543	0	6
2019.12.12	74.638	75.594	74.537	75.494	71056	0	6
2019.12.13	75.490	75.971	74.971	75.170	95140	0	6
2019.12.16	75.229	75.627	75.120	75.414	45975	0	5
2019.12.17	75.411	75.429	74.938	75.006	49384	0	6
2019.12.18	75.006	75.204	74.845	75.073	42107	0	5
2019.12.19	75.073	75.428	75.033	75.293	49353	0	5
2019.12.20	75.294	75.609	75.215	75.519	40947	0	6
2019.12.23	75.517	75.790	75.372	75.712	36080	0	6
