<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.05.05	102.176	102.190	100.399	101.810	278890	0	1
2013.05.12	101.874	102.032	99.594	100.397	306630	0	1
2013.05.19	100.171	100.958	97.130	97.621	408708	0	3
2013.05.26	97.710	99.068	96.061	96.070	471901	0	5
2013.06.02	96.552	97.365	90.526	92.599	532679	0	5
2013.06.09	92.012	93.790	88.937	89.952	563252	0	5
2013.06.16	90.140	91.553	89.097	90.214	483796	0	5
2013.06.23	90.467	91.668	89.569	90.494	495151	0	5
2013.06.30	90.581	92.414	90.151	91.659	407078	0	5
2013.07.07	91.687	93.070	89.690	89.721	440366	0	1
2013.07.14	90.167	92.555	89.909	92.252	381826	0	1
2013.07.21	92.117	92.733	90.569	91.002	397218	0	1
2013.07.28	91.005	91.062	87.240	88.040	400768	0	1
2013.08.04	88.187	88.767	86.405	88.482	376968	0	1
2013.08.11	88.391	90.070	88.053	89.553	371064	0	1
2013.08.18	89.687	90.124	87.408	89.032	382597	0	1
2013.08.25	88.975	89.264	86.461	87.292	340890	0	1
2013.09.01	87.828	91.572	87.741	90.949	312079	0	1
2013.09.08	91.798	93.566	91.316	91.829	329598	0	1
2013.09.15	92.356	94.442	92.117	93.266	297074	0	1
2013.09.22	93.062	93.572	91.379	91.477	273015	0	1
2013.09.29	91.005	92.390	90.735	91.955	316026	0	1
2013.10.06	91.756	93.440	90.988	93.255	302704	0	1
2013.10.13	92.648	94.670	92.648	94.549	289907	0	1
2013.10.20	94.668	95.680	92.996	93.328	278387	0	1
2013.10.27	93.492	93.973	92.662	93.055	266702	0	1
2013.11.03	93.206	94.161	92.339	92.932	265062	0	1
2013.11.10	93.018	94.003	92.308	93.820	279102	0	1
2013.11.17	93.958	94.602	92.538	92.821	302243	0	1
2013.11.24	92.842	93.576	92.247	93.252	243399	0	1
2013.12.01	93.454	94.020	91.784	93.569	337894	0	1
2013.12.08	93.997	94.220	91.785	92.433	317396	0	1
2013.12.15	92.297	93.010	91.081	92.800	284865	0	1
2013.12.22	92.808	93.541	92.769	93.201	129371	0	1
2013.12.29	93.140	94.063	92.893	93.746	207107	0	1
2014.01.05	93.824	94.070	92.931	93.668	302238	0	1
2014.01.12	93.558	93.852	91.403	91.574	297744	0	1
2014.01.19	91.506	92.690	88.532	88.773	306794	0	1
2014.01.26	88.728	91.111	88.583	89.255	348469	0	1
2014.02.02	89.505	91.861	88.238	91.659	396781	0	1
2014.02.09	91.841	92.970	90.925	91.930	268618	0	1
2014.02.16	92.056	92.979	91.065	92.002	273608	0	1
2014.02.23	92.004	92.781	90.685	90.814	287714	0	1
2014.03.02	90.408	94.475	90.054	93.620	294500	0	0
2014.03.09	93.416	93.607	91.295	91.518	561547	0	0
2014.03.16	91.361	93.085	91.320	92.862	512573	0	0
2014.03.23	92.980	95.239	92.587	95.074	488026	0	0
2014.03.30	95.160	96.510	94.788	95.944	468890	0	0
2014.04.06	95.936	96.225	95.026	95.462	461953	0	1
2014.04.13	95.423	96.021	94.832	95.567	283083	0	1
2014.04.20	95.578	96.243	94.521	94.700	264405	0	1
2014.04.27	94.704	95.275	94.579	94.761	311883	0	0
2014.05.04	94.905	95.656	94.262	95.339	349390	0	0
2014.05.11	95.297	96.106	94.720	95.006	290931	0	1
2014.05.18	95.076	95.134	93.034	94.093	361385	0	1
2014.05.25	94.147	94.793	93.691	94.710	201904	0	4
2014.06.01	94.770	95.800	94.280	95.634	298102	0	1
2014.06.08	95.776	96.143	95.413	95.905	267307	0	1
2014.06.15	95.923	95.971	95.194	95.805	261339	0	1
2014.06.22	95.721	96.324	95.308	95.563	238299	0	1
2014.06.29	95.559	96.496	95.165	95.528	316851	0	1
2014.07.06	95.535	95.906	94.708	95.160	369426	0	2
2014.07.13	95.074	95.503	94.384	95.172	289056	0	1
2014.07.20	95.218	96.180	94.932	95.545	303824	0	1
2014.07.27	95.651	96.116	95.276	95.276	320698	0	2
2014.08.03	95.494	95.823	93.921	94.634	320849	0	12
2014.08.10	94.716	95.693	94.529	95.375	252285	0	12
2014.08.17	95.402	96.870	95.245	96.832	279143	0	3
2014.08.24	96.817	97.261	96.469	97.153	314874	0	3
2014.08.31	97.155	98.679	97.117	98.537	332536	0	1
2014.09.07	98.486	98.655	96.927	96.982	411808	0	1
2014.09.14	96.727	97.926	96.367	97.327	399194	0	1
2014.09.21	97.373	97.475	95.368	95.792	517198	0	1
2014.09.28	95.750	96.032	94.886	95.212	500031	0	1
2014.10.05	95.213	95.840	93.446	93.481	542652	0	1
2014.10.12	93.345	94.515	91.760	93.454	603657	0	1
2014.10.19	93.799	95.278	93.520	95.043	456647	0	8
2014.10.26	95.213	98.861	94.731	98.784	483916	0	1
2014.11.02	98.915	99.707	98.049	98.956	641713	0	1
2014.11.09	98.909	101.918	98.774	101.705	577836	0	1
2014.11.16	102.111	102.836	101.243	102.106	394983	0	1
